"Table A2P - Number of households owed a prevention duty by reason for loss, or threat of loss, of last settled home
England, October to December 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,End of private rented tenancy - assured shorthold,,,,,,,,,,,,,,,End of private rented tenancy - not assured shorthold,Family or friends no longer willing or able to accommodate,Non-violent relationship breakdown with partner,Domestic abuse,Other violence or harrassment,,End of social rented tenancy,,,,,Eviction from supported housing,,,,,Left institution with no accommodation available,Required to leave accommodation provided by Home Office as asylum support,Other reasons / not known6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of households
,,,,Total owed a prevention duty1,,"End of assured shorthold (AST) private rented tenancy, due to..",,,,,,,,,,,,,,,End of non-AST private rented tenancy,Family or friends no longer willing or able to accommodate,Non-violent relationship breakdown with partner,Domestic abuse,Other violence or harrassment,,"End of social rented tenancy, due to..",,,,,"Eviction from supported housing, due to..",,,,,Left institution with no accommodation available,Required to leave accommodation provided by Home Office as asylum support,Other reasons / not known5
,,,,,,"Total end
 of AST",,Of which:,,,,,,,,,,,,,,,,,,,Total end of social rented tenancy,Of which:,,,,Total evicted from supported housing,Of which:,,,,,,
,,,,,,,,"Rent arrears, due to..",,,,,,"Breach of tenancy, not related to rent arrears",Landlord wishing to sell or re-let the property,Tenant complained to the council / agent / landlord about disrepair,Illegal eviction ,Tenant abandoned property,Other reasons / not known,,,,,,,,,Rent arrears2,"Breach of tenancy, not related to rent arrears",Other reasons / not known3,,,Rent arrears,"Breach of tenancy or licence, not related to rent arrears",Other reasons / not known4,,,,
,,,,,,,,Tenant difficulty budgeting or making other payment(s) ,"Increase
 in rent  ",Reduction in employment income,"Changes
 in benefit entitlement",Change in personal circumstances ,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND,,,"31,800",,"11,790",,670,170,210,200,640,,200,"7,470",170,60,90,"1,900",,"1,480","8,550","1,540","2,240",520,,"1,510","1,000",110,390,,"1,200",110,390,690,,680,670,"1,640"
E12000007,London,,,"5,850",,"2,420",,120,50,20,110,100,,20,"1,500",50,10,10,420,,300,"1,680",140,270,90,,350,280,10,60,,130,10,40,90,,60,90,330
-,Rest of England,,,"25,950",,"9,370",,550,120,190,100,540,,170,"5,970",120,50,80,"1,470",,"1,180","6,870","1,400","1,980",430,,"1,160",720,100,330,,"1,060",100,360,600,,620,580,"1,300"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,,,"2,320",,580,,60,0,10,10,30,,10,330,10,10,10,110,,100,640,170,240,80,,100,50,0,40,,90,10,40,40,,50,140,130
E12000002,North West,,,"4,350",,"1,570",,50,20,20,20,90,,30,"1,100",30,10,10,210,,240,"1,190",190,340,50,,180,120,20,50,,130,10,40,90,,110,160,180
E12000003,Yorkshire and The Humber,,,"3,420",,"1,060",,80,10,20,10,50,,20,640,10,10,20,180,,80,"1,020",200,290,70,,150,70,20,60,,190,10,60,120,,120,120,120
E12000004,East Midlands,,,"2,550",,"1,030",,60,10,30,10,40,,10,670,20,0,10,170,,80,640,160,190,30,,110,70,0,40,,110,10,40,60,,70,50,80
E12000005,West Midlands,,,"2,590",,820,,30,10,20,10,50,,10,540,10,10,0,130,,120,680,130,280,60,,90,60,10,20,,130,10,40,80,,30,30,210
E12000006,East of England,,,"3,160",,"1,210",,90,10,30,10,80,,30,770,10,0,10,180,,140,830,170,200,40,,200,140,20,40,,130,10,30,80,,50,30,160
E12000007,London,,,"5,850",,"2,420",,120,50,20,110,100,,20,"1,500",50,10,10,420,,300,"1,680",140,270,90,,350,280,10,60,,130,10,40,90,,60,90,330
E12000008,South East,,,"4,860",,"1,940",,140,40,30,20,140,,40,"1,170",20,10,10,330,,280,"1,250",250,270,70,,200,140,10,50,,160,30,60,70,,130,40,260
E12000009,South West,,,"2,710",,"1,150",,50,20,30,10,50,,40,750,10,0,10,160,,130,610,130,160,40,,120,70,10,40,,130,20,50,50,,70,10,160
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000223,Adur,,,9,,6,,0,0,0,0,0,,0,5,0,0,0,1,,0,2,0,1,0,,0,0,0,0,,0,0,0,0,,0,0,0
E07000026,Allerdale,,,49,,13,,0,1,1,1,0,,0,9,0,0,0,1,,2,10,5,8,0,,4,1,0,3,,1,0,1,0,,1,0,5
E07000032,Amber Valley,,,63,,21,,1,0,0,0,0,,1,13,0,0,0,6,,1,23,8,4,0,,0,0,0,0,,3,2,0,1,,1,0,2
E07000224,Arun,,,84,,40,,3,0,0,0,0,,1,34,0,0,0,2,,2,24,4,0,2,,6,4,0,2,,4,0,1,3,,0,1,1
E07000170,Ashfield,,,51,,31,,1,0,0,0,1,,0,24,1,0,0,4,,1,6,3,7,0,,0,0,0,0,,0,0,0,0,,1,0,2
E07000105,Ashford,,,86,,38,,1,2,1,0,1,,1,27,2,0,0,3,,4,22,6,6,0,,1,1,0,0,,0,0,0,0,,2,0,7
E07000200,Babergh,,,55,,17,,3,0,1,0,1,,1,7,0,0,0,4,,2,9,5,8,0,,9,7,0,2,,0,0,0,0,,0,0,5
E09000002,Barking & Dagenham,,,159,,45,,1,0,0,2,7,,1,30,0,0,1,3,,3,70,7,10,1,,2,2,0,0,,1,0,0,1,,3,12,5
E09000003,Barnet,,,243,,128,,3,1,1,4,3,,0,91,0,0,1,24,,10,50,2,25,3,,1,1,0,0,,2,0,0,2,,3,0,19
E08000016,Barnsley,,,78,,34,,4,0,3,2,3,,2,18,0,0,0,2,,0,20,4,0,0,,7,3,2,2,,10,0,4,6,,1,2,0
E07000027,Barrow-in-Furness,,,34,,12,,0,0,0,1,0,,1,9,0,0,1,0,,0,13,2,4,0,,0,0,0,0,,2,0,0,2,,0,0,1
E07000066,Basildon,,,38,,22,,3,1,0,0,0,,2,14,0,0,0,2,,0,10,1,2,0,,0,0,0,0,,2,0,0,2,,0,0,1
E07000084,Basingstoke & Deane,,,95,,36,,2,0,0,0,1,,0,21,0,0,0,12,,4,30,3,2,1,,5,4,0,1,,4,2,1,1,,4,0,6
E07000171,Bassetlaw,,,39,,19,,0,0,2,0,2,,0,11,1,2,1,0,,2,10,0,1,1,,0,0,0,0,,3,2,1,0,,1,0,2
E06000022,Bath & North East Somerset,,,57,,18,,0,1,1,0,2,,0,12,0,0,1,1,,1,10,6,1,0,,2,1,0,1,,3,0,1,2,,0,0,16
E06000055,Bedford,,,124,,63,,3,1,1,1,7,,0,39,0,0,1,10,,1,28,2,6,2,,5,3,1,1,,8,1,5,2,,3,0,6
E09000004,Bexley,,,136,,71,,1,1,2,4,5,,0,39,5,0,0,14,,1,43,4,6,1,,7,6,0,1,,1,0,0,1,,0,0,2
E08000025,Birmingham,,,538,,148,,3,2,2,2,14,,1,95,4,2,0,23,,34,152,16,75,11,,11,9,0,2,,36,1,16,19,,12,4,39
E07000129,Blaby,,,48,,14,,1,0,1,1,0,,0,6,0,0,0,5,,1,12,1,3,2,,15,10,0,5,,0,0,0,0,,0,0,0
E06000008,Blackburn with Darwen,,,134,,24,,0,0,0,0,0,,0,20,0,0,0,4,,9,50,5,19,1,,2,1,0,1,,8,0,1,7,,1,6,9
E06000009,Blackpool,,,137,,78,,11,1,0,1,12,,6,32,2,0,0,13,,4,26,5,6,2,,1,0,0,1,,6,0,3,3,,6,0,3
E07000033,Bolsover,,,38,,15,,0,0,0,0,0,,0,15,0,0,0,0,,0,11,4,6,0,,0,0,0,0,,1,0,1,0,,0,0,1
E08000001,Bolton,,,203,,80,,2,2,0,1,4,,0,59,0,0,1,11,,11,62,4,15,2,,4,1,0,3,,9,3,3,3,,1,9,6
E07000136,Boston,,,..,,..,,..,..,..,..,..,,..,..,..,..,..,..,,..,..,..,..,..,,..,..,..,..,,..,..,..,..,,..,..,..
E06000058,"Bournemouth, Christchurch and Poole",,,223,,113,,6,7,2,2,17,,6,64,0,1,0,8,,11,40,9,10,5,,10,5,0,5,,4,1,0,3,,7,1,13
E06000036,Bracknell Forest,,,66,,24,,1,1,0,0,4,,1,15,0,0,0,2,,3,18,1,4,1,,3,1,1,1,,5,1,1,3,,1,0,6
E08000032,Bradford,,,293,,89,,4,0,0,2,5,,2,41,2,4,3,26,,3,88,10,24,10,,8,2,3,3,,24,2,8,14,,5,18,14
E07000067,Braintree,,,61,,23,,4,0,0,0,2,,0,12,0,0,3,2,,3,13,4,5,2,,3,2,0,1,,4,0,1,3,,0,2,2
E07000143,Breckland,,,58,,26,,4,0,1,0,2,,0,16,0,0,0,3,,1,13,1,9,2,,1,1,0,0,,0,0,0,0,,1,0,4
