"Table A2P - Number of households owed a prevention duty by reason for loss, or threat of loss, of last settled homeEngland, July to September 2020",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of households
,,,,Total owed a prevention duty1,,"End of assured shorthold (AST) private rented tenancy, due to..",,,,,,,,,,,,,,,End of non-AST private rented tenancy,Family or friends no longer willing or able to accommodate,Non-violent relationship breakdown with partner,Domestic abuse,Other violence or harrassment,,"End of social rented tenancy, due to..",,,,,"Eviction from supported housing, due to..",,,,,Left institution with no accommodation available,Required to leave accommodation provided by Home Office as asylum support,Other reasons / not known5
,,,,,,Total end of AST,,Of which:,,,,,,,,,,,,,,,,,,,Total end of social rented tenancy,Of which:,,,,Total evicted from supported housing,Of which:,,,,,,
,,,,,,,,"Rent arrears, due to..",,,,,,"Breach of tenancy, not related to rent arrears",Landlord wishing to sell or re-let the property,Tenant complained to the council / agent / landlord about disrepair,Illegal eviction ,Tenant abandoned property,Other reasons / not known,,,,,,,,,Rent arrears2,"Breach of tenancy, not related to rent arrears",Other reasons / not known3,,,Rent arrears,"Breach of tenancy or licence, not related to rent arrears",Other reasons / not known4,,,,
,,,,,,,,Tenant difficulty budgeting or making other payment(s) ,Increase in rent  ,Reduction in employment income,Changes in benefit entitlement,Change in personal circumstances ,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,England,,,32240,,7190,,370,60,310,160,480,,200,4220,110,100,130,1050,,850,10460,2450,2770,800,,1100,680,140,280,,840,70,320,450,,400,220,5160
E12000007,London,,,6070,,1170,,50,30,40,40,70,,20,610,20,20,10,250,,140,2260,210,430,100,,180,120,10,50,,80,0,20,60,,60,30,1410
-,Rest of England,,,26170,,6020,,320,30,270,120,410,,180,3600,90,70,120,800,,710,8200,2240,2340,700,,920,550,130,240,,750,70,300,390,,350,190,3750
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,,,2070,,430,,50,0,40,40,30,,10,210,10,10,10,30,,20,600,250,290,120,,50,30,10,20,,50,10,20,30,,40,20,210
E12000002,North West,,,4220,,890,,30,10,20,10,80,,20,560,10,10,10,120,,90,1330,380,370,110,,170,110,10,40,,80,10,40,40,,60,60,680
E12000003,Yorkshire and The Humber,,,3730,,710,,40,10,30,10,40,,20,430,10,20,50,60,,70,1300,330,430,160,,120,30,30,50,,120,10,60,60,,50,60,380
E12000004,East Midlands,,,2500,,620,,50,10,30,10,40,,10,400,10,10,10,70,,50,830,210,230,40,,90,60,10,20,,110,10,40,60,,30,20,280
E12000005,West Midlands,,,2360,,490,,20,0,20,10,30,,10,300,10,10,0,80,,50,790,200,220,80,,70,40,10,20,,50,10,20,20,,20,20,360
E12000006,East of England,,,3170,,720,,40,0,30,0,50,,20,450,0,10,20,100,,100,1060,270,210,70,,160,110,20,30,,110,10,30,70,,30,10,420
E12000007,London,,,6070,,1170,,50,30,40,40,70,,20,610,20,20,10,250,,140,2260,210,430,100,,180,120,10,50,,80,0,20,60,,60,30,1410
E12000008,South East,,,4800,,1230,,60,10,60,30,100,,50,690,10,10,10,200,,190,1470,360,350,60,,140,100,20,30,,110,10,30,70,,40,0,860
E12000009,South West,,,3310,,930,,30,0,40,20,50,,40,560,20,0,20,150,,120,830,250,250,60,,120,70,20,30,,120,20,60,40,,70,10,570
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E07000223,Adur,,,20,,8,,0,0,0,0,0,,0,6,0,0,1,1,,0,6,1,3,0,,1,1,0,0,,0,0,0,0,,0,0,1
E07000026,Allerdale,,,26,,5,,0,0,0,0,0,,1,4,0,0,0,0,,0,9,4,1,1,,0,0,0,0,,0,0,0,0,,0,0,6
E07000032,Amber Valley,,,88,,22,,0,0,0,0,0,,0,20,0,0,0,2,,1,30,14,8,0,,0,0,0,0,,2,1,1,0,,0,0,11
E07000224,Arun,,,99,,33,,0,0,0,0,0,,0,22,1,1,1,8,,3,36,4,3,1,,1,1,0,0,,0,0,0,0,,0,0,18
E07000170,Ashfield,,,46,,24,,0,0,0,0,1,,1,19,0,0,0,3,,0,11,2,5,0,,0,0,0,0,,0,0,0,0,,1,0,3
E07000105,Ashford,,,89,,15,,1,0,0,1,1,,0,7,0,0,0,5,,1,30,11,10,1,,1,1,0,0,,1,0,1,0,,1,0,18
E07000200,Babergh,,,52,,12,,0,0,0,0,1,,0,7,0,1,2,1,,2,12,11,2,2,,2,1,1,0,,0,0,0,0,,0,0,9
E09000002,Barking and Dagenham,,,230,,41,,0,1,0,1,4,,2,30,0,1,1,1,,6,114,14,9,4,,1,1,0,0,,13,0,1,12,,0,12,16
E09000003,Barnet,,,333,,102,,0,5,4,10,13,,0,47,3,2,2,16,,5,89,3,27,6,,0,0,0,0,,0,0,0,0,,3,0,98
