"Table A2P - Number of households owed a prevention duty by reason for loss, or threat of loss, of last settled homeEngland, April to June 2021",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
,,,,,,End of private rented tenancy - assured shorthold,,,,,,,,,,,,,,,End of private rented tenancy - not assured shorthold,Family or friends no longer willing or able to accommodate,Non-violent relationship breakdown with partner,Domestic abuse,Other violence or harrassment,,End of social rented tenancy,,,,,Eviction from supported housing,,,,,Left institution with no accommodation available,Required to leave accommodation provided by Home Office as asylum support,Other reasons / not known6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Number of households
,,,,Total owed a prevention duty1,,"End of assured shorthold (AST) private rented tenancy, due to..",,,,,,,,,,,,,,,End of non-AST private rented tenancy,Family or friends no longer willing or able to accommodate,Non-violent relationship breakdown with partner,Domestic abuse,Other violence or harrassment,,"End of social rented tenancy, due to..",,,,,"Eviction from supported housing, due to..",,,,,Left institution with no accommodation available,Required to leave accommodation provided by Home Office as asylum support,Other reasons / not known5
,,,,,,Total end of AST,,Of which:,,,,,,,,,,,,,,,,,,,Total end of social rented tenancy,Of which:,,,,Total evicted from supported housing,Of which:,,,,,,
,,,,,,,,"Rent arrears, due to..",,,,,,"Breach of tenancy, not related to rent arrears",Landlord wishing to sell or re-let the property,Tenant complained to the council / agent / landlord about disrepair,Illegal eviction ,Tenant abandoned property,Other reasons / not known,,,,,,,,,Rent arrears2,"Breach of tenancy, not related to rent arrears",Other reasons / not known3,,,Rent arrears,"Breach of tenancy or licence, not related to rent arrears",Other reasons / not known4,,,,
,,,,,,,,Tenant difficulty budgeting or making other payment(s) ,Increase in rent  ,Reduction in employment income,Changes in benefit entitlement,Change in personal circumstances ,,,,,,,,,,,,,,,,,,,,,,,,,,,
E92000001,ENGLAND,,,31600,,7960,,440,70,260,160,520,,220,4790,130,70,120,1180,,990,9340,2160,2710,760,,1430,900,150,380,,990,90,360,540,,560,530,4180
E12000007,London,,,6020,,1540,,80,30,30,60,90,,20,770,40,10,10,390,,230,1950,160,410,110,,460,320,20,120,,120,10,40,70,,50,50,930
-,Rest of England,,,25580,,6420,,360,40,220,100,430,,190,4020,100,50,110,800,,760,7390,1990,2300,650,,970,590,120,260,,860,80,320,470,,510,470,3250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
