"Table 6c - Ratio of lower quartile house price to lower quartile gross annual (where available) residence-based earnings by local authority district, England and Wales, 2002 to 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,
Region code,Region name ,Local authority code,Local authority name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,
E12000001,North East,E06000001,Hartlepool,2.27,2.13,2.25,2.85,3.73,4.70,4.56,3.98,4.34,4.13,3.68,4.01,3.87,3.89,3.42,3.75,3.98,4.18,3.96,3.95,3.76,,,
E12000001,North East,E06000002,Middlesbrough,2.16,1.95,2.92,3.73,4.77,5.16,4.56,4.64,4.31,4.15,3.92,3.96,4.39,4.58,4.66,4.44,4.44,4.18,4.13,4.07,3.73,,,
E12000001,North East,E06000003,Redcar and Cleveland,2.96,3.21,4.07,4.72,5.83,6.33,5.34,4.90,5.24,4.59,4.92,4.71,5.27,5.31,5.26,4.63,5.00,4.61,4.66,5.33,4.74,,,
E12000001,North East,E06000004,Stockton-on-Tees,3.04,3.19,3.76,4.47,5.61,5.93,6.20,5.85,5.55,4.95,5.19,4.92,5.36,5.48,5.12,5.33,5.29,5.03,5.10,5.32,4.54,,,
E12000001,North East,E06000005,Darlington,3.03,3.49,4.66,5.64,6.20,5.82,5.77,5.19,5.17,4.61,4.53,4.73,4.57,4.73,4.30,4.74,4.73,4.67,4.91,5.06,4.65,,,
E12000001,North East,E06000047,County Durham,:,2.68,3.58,4.54,5.07,5.20,5.10,4.45,4.47,4.16,3.73,3.60,3.80,3.64,3.79,3.70,3.62,3.68,3.53,3.84,3.54,,,
E12000001,North East,E06000057,Northumberland,:,3.58,4.66,5.12,5.75,6.12,6.04,5.28,5.41,5.03,4.95,4.91,5.19,5.64,5.50,5.28,5.48,5.41,5.40,5.81,5.11,,,
E12000001,North East,E08000021,Newcastle upon Tyne,3.24,4.19,5.33,5.57,6.51,6.99,6.51,5.76,6.27,6.11,5.61,5.75,5.70,5.75,5.61,5.77,5.88,5.77,5.32,6.29,5.43,,,
E12000001,North East,E08000022,North Tyneside,3.17,4.04,5.17,6.08,6.26,6.74,5.91,5.45,5.54,5.58,5.51,5.34,5.60,5.53,5.70,5.62,5.71,5.60,5.33,5.54,5.45,,,
E12000001,North East,E08000023,South Tyneside,2.82,3.19,4.69,5.36,5.48,5.74,5.38,4.95,4.84,4.56,4.58,4.55,4.61,4.71,4.79,4.73,4.83,5.01,4.63,5.14,4.50,,,
E12000001,North East,E08000024,Sunderland,2.76,3.34,4.51,5.04,5.51,5.55,5.26,4.58,4.62,4.44,4.20,4.23,4.38,4.49,4.39,4.27,4.36,4.39,4.15,4.64,4.29,,,
