"Table  P2 - Number of households whose prevention duty ended by type of accommodation securedEngland, January to March 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known6
,,,,,,,,,,,,,,,,,,,Number of households
,,,Total number of households whose prevention duty ended with accommodation secured1,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known2
,,,,,Total PRS,Of which:,,,,Total SRS,Of which:,,,,,,,,
,,,,,,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),,,Council tenancy,Registered Provider tenancy,Supported housing or hostel,,,,,,
E92000001,ENGLAND,,18910,,7330,6420,800,120,,8840,2360,4460,2030,,1380,400,90,250,610
E12000007,London,,3160,,1770,1540,210,20,,760,290,230,250,,240,60,0,50,260
-,Rest of England,,15750,,5560,4880,590,90,,8080,2070,4230,1780,,1140,340,80,200,340
,,,,,,,,,,,,,,,,,,,
E12000001,North East,,1210,,300,290,10,0,,780,320,340,120,,60,20,10,10,30
E12000002,North West,,2880,,850,770,70,10,,1710,190,1250,270,,200,40,20,20,30
E12000003,Yorkshire and The Humber,,2320,,680,600,70,10,,1150,350,340,450,,300,140,10,30,20
E12000004,East Midlands,,1710,,590,510,70,0,,880,330,380,170,,130,40,10,20,50
E12000005,West Midlands,,1370,,380,310,60,10,,770,190,440,140,,70,0,10,10,130
E12000006,East of England,,1960,,720,580,120,20,,1040,380,450,210,,120,20,10,40,20
E12000007,London,,3160,,1770,1540,210,20,,760,290,230,250,,240,60,0,50,260
E12000008,South East,,2590,,1270,1110,130,30,,990,190,580,220,,190,40,10,50,50
