"Table  P2 - Number of households whose prevention duty ended by type of accommodation securedEngland, April to June 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known6
,,,,,,,,,,,,,,,,,,,Number of households
,,,Total number of households whose prevention duty ended with accommodation secured1,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known2
,,,,,Total PRS,Of which:,,,,Total SRS,Of which:,,,,,,,,
,,,,,,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),,,Council tenancy,Registered Provider tenancy,Supported housing or hostel,,,,,,
E92000001,ENGLAND,,17200,,6680,5960,610,110,,7880,2060,3930,1890,,1350,400,100,250,540
E12000007,London,,3060,,1660,1490,150,30,,780,360,210,210,,250,60,10,50,250
-,Rest of England,,14140,,5020,4480,460,80,,7100,1690,3730,1680,,1100,340,90,200,290
,,,,,,,,,,,,,,,,,,,
E12000001,North East,,960,,220,210,10,0,,620,260,270,90,,50,10,10,10,60
E12000002,North West,,2780,,830,790,40,0,,1590,200,1110,280,,240,50,30,30,20
E12000003,Yorkshire and The Humber,,2110,,620,540,70,0,,1010,260,380,370,,280,150,10,20,20
E12000004,East Midlands,,1420,,460,400,50,10,,790,310,310,160,,80,20,10,20,40
E12000005,West Midlands,,1070,,290,250,40,0,,610,160,330,130,,50,20,10,10,90
E12000006,East of England,,1780,,710,600,90,10,,850,220,370,260,,140,30,10,30,10
E12000007,London,,3060,,1660,1490,150,30,,780,360,210,210,,250,60,10,50,250
E12000008,South East,,2460,,1190,1050,110,30,,960,180,570,220,,150,50,10,50,40
