"Table  P2 - Number of households whose prevention duty ended by type of accommodation securedEngland, July to September 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known6
,,,,,,,,,,,,,,,,,,,Number of households
,,,Total number of households whose prevention duty ended with accommodation secured1,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known2
,,,,,Total PRS,Of which:,,,,Total SRS,Of which:,,,,,,,,
,,,,,,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),,,Council tenancy,Registered Provider tenancy,Supported housing or hostel,,,,,,
E92000001,ENGLAND,,17280,,6870,6050,680,140,,7720,1890,3840,2000,,1370,410,80,240,570
E12000007,London,,2870,,1510,1330,150,30,,720,290,180,250,,290,60,10,30,260
-,Rest of England,,14400,,5360,4720,530,110,,7010,1600,3660,1750,,1090,350,70,210,320
,,,,,,,,,,,,,,,,,,,
E12000001,North East,,1050,,260,250,10,0,,660,220,330,100,,40,10,0,10,60
E12000002,North West,,2570,,900,830,60,10,,1380,160,990,230,,160,50,10,40,30
E12000003,Yorkshire and The Humber,,2030,,600,540,50,0,,940,250,320,370,,300,130,10,20,30
E12000004,East Midlands,,1550,,500,440,50,0,,860,290,390,180,,90,40,10,20,40
E12000005,West Midlands,,1140,,320,250,70,0,,610,150,320,150,,80,20,10,20,80
E12000006,East of England,,1800,,750,640,100,10,,860,240,400,220,,110,20,10,30,20
E12000007,London,,2870,,1510,1330,150,30,,720,290,180,250,,290,60,10,30,260
E12000008,South East,,2610,,1280,1090,140,50,,990,180,550,260,,200,60,10,40,30
