"Table  P2 - Number of households whose prevention duty ended by type of accommodation securedEngland, October to December 2022",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known6
,,,,,,,,,,,,,,,,,,,Number of households
,,,Total number of households whose prevention duty ended with accommodation secured1,,Private rented sector,,,,,Social rented sector,,,,,Staying with family,Staying with friends,Owner-occupier,Other,Not known2
,,,,,Total PRS,Of which:,,,,Total SRS,Of which:,,,,,,,,
,,,,,,Self-contained,House in multiple occupation (HMO),Lodging (not with family or friends),,,Council tenancy,Registered Provider tenancy,Supported housing or hostel,,,,,,
E92000001,ENGLAND,,17330,,6900,6110,620,180,,7360,1870,3570,1920,,1420,560,110,270,710
E12000007,London,,2900,,1590,1400,160,20,,680,270,160,250,,240,110,20,40,220
-,Rest of England,,14430,,5320,4710,450,150,,6680,1600,3400,1670,,1180,450,90,230,490
,,,,,,,,,,,,,,,,,,,
E12000001,North East,,1060,,220,210,0,10,,690,290,290,110,,40,10,10,10,70
E12000002,North West,,2280,,750,710,30,10,,1230,140,860,220,,190,50,20,30,20
E12000003,Yorkshire and The Humber,,2020,,580,520,60,10,,870,240,310,320,,350,150,10,30,30
E12000004,East Midlands,,1440,,530,480,40,10,,690,260,280,160,,90,50,10,30,60
E12000005,West Midlands,,1370,,310,260,50,0,,670,150,350,170,,70,20,10,20,280
E12000006,East of England,,1850,,790,680,90,20,,830,210,420,200,,130,50,10,20,10
E12000007,London,,2900,,1590,1400,160,20,,680,270,160,250,,240,110,20,40,220
E12000008,South East,,2750,,1390,1190,120,80,,960,200,490,270,,210,90,20,60,30
