region_code,region_name,ONS_code,local_authority,median_age,population_density,number_unemployed,percent_unemployed,deprivation_score
E12000001,North East,E06000047,County Durham,43.4,238.0,13400.0,5.2,26.8
E12000001,North East,E06000005,Darlington,43.2,541.0,3100.0,5.9,25.7
E12000001,North East,E06000001,Hartlepool,41.7,999.0,3400.0,8.1,35.0
E12000001,North East,E06000002,Middlesbrough,36.3,2616.0,4900.0,7.7,40.5
E12000001,North East,E06000057,Northumberland,48.4,64.0,7100.0,4.8,22.1
E12000001,North East,E06000003,Redcar and Cleveland,45.2,560.0,3400.0,5.8,29.8
E12000001,North East,E06000004,Stockton-on-Tees,40.7,963.0,5800.0,6.1,25.8
E12000001,North East,E08000037,Gateshead,41.5,1419.0,5500.0,5.3,28.2
E12000001,North East,E08000021,Newcastle upon Tyne,32.3,2669.0,8200.0,5.4,29.8
E12000001,North East,E08000022,North Tyneside,43.3,2526.0,4400.0,4.3,22.3
E12000001,North East,E08000023,South Tyneside,43.4,2343.0,5000.0,7.2,31.5
E12000001,North East,E08000024,Sunderland,42.2,2021.0,9400.0,7.0,30.6
E12000002,North West,E06000008,Blackburn with Darwen,36.5,1092.0,3200.0,4.8,36.0
E12000002,North West,E06000009,Blackpool,43.4,3999.0,4200.0,6.3,45.0
E12000002,North West,E06000049,Cheshire East,46.4,329.0,5600.0,2.8,14.5
E12000002,North West,E06000050,Cheshire West and Chester,44.5,373.0,5200.0,3.1,18.1
E12000002,North West,E06000006,Halton,40.9,1636.0,2400.0,3.7,32.3
E12000002,North West,E06000007,Warrington,42.3,1163.0,3400.0,3.2,18.9
E12000002,North West,E07000026,Allerdale,48.3,79.0,1300.0,2.6,22.9
E12000002,North West,E07000027,Barrow-in-Furness,45.0,861.0,1100.0,4.0,31.1
E12000002,North West,E07000028,Carlisle,45.1,105.0,1400.0,2.7,22.0
E12000002,North West,E07000029,Copeland,47.1,93.0,900.0,2.8,25.0
E12000002,North West,E07000030,Eden,50.8,25.0,500.0,1.5,16.3
E12000002,North West,E07000031,South Lakeland,51.3,68.0,900.0,1.8,12.5
E12000002,North West,E08000001,Bolton,38.9,2057.0,6600.0,5.0,30.7
E12000002,North West,E08000002,Bury,40.3,1920.0,4200.0,4.6,23.7
E12000002,North West,E08000003,Manchester,30.1,4781.0,15800.0,5.6,40.0
E12000002,North West,E08000004,Oldham,37.1,1666.0,5300.0,5.0,33.2
E12000002,North West,E08000005,Rochdale,38.1,1407.0,5600.0,5.6,34.4
E12000002,North West,E08000006,Salford,34.8,2663.0,6000.0,4.4,34.2
E12000002,North West,E08000007,Stockport,42.4,2328.0,5400.0,3.6,20.8
E12000002,North West,E08000008,Tameside,40.1,2196.0,4800.0,4.2,31.4
E12000002,North West,E08000009,Trafford,40.7,2238.0,3900.0,3.3,16.1
E12000002,North West,E08000010,Wigan,42.1,1747.0,5800.0,3.5,25.7
E12000002,North West,E07000117,Burnley,40.0,803.0,2100.0,5.6,37.8
E12000002,North West,E07000118,Chorley,43.5,583.0,1700.0,2.9,16.9
E12000002,North West,E07000119,Fylde,50.5,488.0,1000.0,2.4,15.9
E12000002,North West,E07000120,Hyndburn,39.8,1110.0,1700.0,4.2,34.3
E12000002,North West,E07000121,Lancaster,39.5,258.0,2500.0,3.6,24.2
E12000002,North West,E07000122,Pendle,39.7,544.0,1600.0,4.0,30.7
E12000002,North West,E07000123,Preston,35.3,1006.0,2700.0,3.7,29.5
E12000002,North West,E07000124,Ribble Valley,48.1,104.0,600.0,1.9,10.6
E12000002,North West,E07000125,Rossendale,42.5,518.0,1200.0,3.3,24.1
E12000002,North West,E07000126,South Ribble,44.6,979.0,1500.0,2.6,15.3
E12000002,North West,E07000127,West Lancashire,44.6,330.0,1900.0,3.7,18.6
